candidate_id,language_id,language_level
1,1,1
2,1,1
3,2,1
4,3,1
5,4,1
6,5,1
7,6,1
8,7,2
9,8,2
10,9,2
11,10,2
12,11,2
13,12,2
14,13,2
15,14,2
16,15,2
17,16,2
18,17,2
19,18,2
20,19,2
21,20,3
22,21,3
23,22,3
24,23,3
25,24,3
26,25,3
27,26,3
28,27,3
29,28,3
30,29,3
31,1,3
32,1,4
33,2,4
34,3,4
35,4,4
36,5,4
37,6,4
38,7,4
39,8,4
40,9,4
41,10,4
42,11,4
43,12,4
44,13,3
45,14,3
46,15,3
47,16,3
48,17,3
49,18,3
50,19,3
51,20,3
52,21,3
53,22,3
54,23,3
55,1,3
56,2,2
57,3,2
58,4,2
59,5,2
60,6,2
61,7,2
62,8,2
63,9,2
64,10,2
65,11,2
66,12,2
67,13,2
68,14,2
69,15,2
70,16,1
71,17,1
72,18,1
73,19,1
74,20,1
75,21,1
76,22,1
77,23,1
78,24,1
79,25,1
80,26,1
