id,Mã xã,Tên xã,Mã huyện
1,00001,Phường Phúc Xá,001
2,00004,Phường Trúc Bạch,001
3,00006,Phường Vĩnh Phúc,001
4,00007,Phường Cống Vị,001
5,00008,Phường Liễu Giai,001
6,00010,Phường Nguyễn Trung Trực,001
7,00013,Phường Quán Thánh,001
8,00016,Phường Ngọc Hà,001
9,00019,Phường Điện Biên,001
10,00022,Phường Đội Cấn,001
11,00025,Phường Ngọc Khánh,001
12,00028,Phường Kim Mã,001
13,00031,Phường Giảng Võ,001
14,00034,Phường Thành Công,001
15,00037,Phường Phúc Tân,002
16,00040,Phường Đồng Xuân,002
17,00043,Phường Hàng Mã,002
18,00046,Phường Hàng Buồm,002
19,00049,Phường Hàng Đào,002
20,00052,Phường Hàng Bồ,002
21,00055,Phường Cửa Đông,002
22,00058,Phường Lý Thái Tổ,002
23,00061,Phường Hàng Bạc,002
24,00064,Phường Hàng Gai,002
25,00067,Phường Chương Dương,002
26,00070,Phường Hàng Trống,002
27,00073,Phường Cửa Nam,002
28,00076,Phường Hàng Bông,002
29,00079,Phường Tràng Tiền,002
30,00082,Phường Trần Hưng Đạo,002
31,00085,Phường Phan Chu Trinh,002
32,00088,Phường Hàng Bài,002
33,00091,Phường Phú Thượng,003
34,00094,Phường Nhật Tân,003
35,00097,Phường Tứ Liên,003
36,00100,Phường Quảng An,003
37,00103,Phường Xuân La,003
38,00106,Phường Yên Phụ,003
39,00109,Phường Bưởi,003
40,00112,Phường Thụy Khuê,003
41,00115,Phường Thượng Thanh,004
42,00118,Phường Ngọc Thụy,004
43,00121,Phường Giang Biên,004
44,00124,Phường Đức Giang,004
45,00127,Phường Việt Hưng,004
46,00130,Phường Gia Thụy,004
47,00133,Phường Ngọc Lâm,004
48,00136,Phường Phúc Lợi,004
49,00139,Phường Bồ Đề,004
50,00142,Phường Sài Đồng,004
51,00145,Phường Long Biên,004
52,00148,Phường Thạch Bàn,004
53,00151,Phường Phúc Đồng,004
54,00154,Phường Cự Khối,004
55,00157,Phường Nghĩa Đô,005
56,00160,Phường Nghĩa Tân,005
57,00163,Phường Mai Dịch,005
58,00166,Phường Dịch Vọng,005
59,00167,Phường Dịch Vọng Hậu,005
60,00169,Phường Quan Hoa,005
61,00172,Phường Yên Hòa,005
62,00175,Phường Trung Hòa,005
63,00178,Phường Cát Linh,006
64,00181,Phường Văn Miếu,006
65,00184,Phường Quốc Tử Giám,006
66,00187,Phường Láng Thượng,006
67,00190,Phường Ô Chợ Dừa,006
68,00193,Phường Văn Chương,006
69,00196,Phường Hàng Bột,006
70,00199,Phường Láng Hạ,006
71,00202,Phường Khâm Thiên,006
72,00205,Phường Thổ Quan,006
73,00208,Phường Nam Đồng,006
74,00211,Phường Trung Phụng,006
75,00214,Phường Quang Trung,006
76,00217,Phường Trung Liệt,006
